|         E          |        E-E0        |          max config      
+--------------------+--------------------+--------------------------
| -1156.960829125360 |     0.000000000000 | [  0  0  0  0  0  0  0  0  0 ] (0.9982)
| -1145.379060153944 |    11.581768971416 | [  1  0  0  0  0  0  0  0  0 ] (0.9682)
| -1134.215487628877 |    22.745341496483 | [  0  1  0  0  0  0  0  0  0 ] (0.5999)
| -1128.301693779316 |    28.659135346044 | [  0  0  1  0  0  0  0  0  0 ] (0.4587)
| -1125.858741781127 |    31.102087344232 | [  0  0  1  0  0  0  0  0  0 ] (0.5104)
| -1123.261211400206 |    33.699617725154 | [  0  0  0  1  0  0  0  0  0 ] (0.9085)
| -1116.644534506470 |    40.316294618890 | [  0  2  0  0  0  0  0  0  0 ] (0.7587)
| -1115.532857525623 |    41.427971599736 | [  1  1  0  0  0  0  0  0  0 ] (0.6153)
| -1112.780602335690 |    44.180226789670 | [  1  0  1  0  0  0  0  0  0 ] (0.8486)
| -1111.486172121247 |    45.474657004113 | [  0  0  0  0  0  1  0  0  0 ] (0.6573)
| -1110.198629292848 |    46.762199832511 | [  0  0  0  0  1  0  0  0  0 ] (0.8748)
| -1107.383795045252 |    49.577034080108 | [  0  0  2  0  0  0  0  0  0 ] (0.7436)
| -1107.364234739041 |    49.596594386319 | [  1  0  0  1  0  0  0  0  0 ] (0.7787)
| -1101.547565393488 |    55.413263731871 | [  0  0  0  2  0  0  0  0  0 ] (0.8296)
| -1099.042553068912 |    57.918276056448 | [  0  1  1  0  0  0  0  0  0 ] (0.9855)
| -1097.206042010545 |    59.754787114815 | [  1  0  0  0  0  1  0  0  0 ] (0.9465)
| -1094.620002143052 |    62.340826982308 | [  1  0  0  0  1  0  0  0  0 ] (0.9653)
| -1093.486449947629 |    63.474379177731 | [  0  1  0  1  0  0  0  0  0 ] (0.9828)
| -1086.622196968612 |    70.338632156748 | [  0  0  1  1  0  0  0  0  0 ] (0.8959)
| -1084.985823733923 |    71.975005391437 | [  0  1  0  0  0  1  0  0  0 ] (0.9637)
| -1081.490802720439 |    75.470026404921 | [  0  0  0  0  0  2  0  0  0 ] (0.7890)
| -1080.630526614509 |    76.330302510850 | [  0  0  0  0  0  0  1  0  0 ] (0.5218)
| -1080.229528150992 |    76.731300974368 | [  0  1  0  0  1  0  0  0  0 ] (0.8828)
| -1079.220487052361 |    77.740342072999 | [  0  0  1  0  0  1  0  0  0 ] (0.8573)
| -1078.141887127890 |    78.818941997469 | [  0  0  0  0  2  0  0  0  0 ] (0.6628)
| -1075.883361217572 |    81.077467907788 | [  0  0  1  0  1  0  0  0  0 ] (0.5172)
| -1071.513916529142 |    85.446912596218 | [  0  0  0  1  0  1  0  0  0 ] (0.4973)
| -1067.853068792059 |    89.107760333301 | [  0  0  0  1  1  0  0  0  0 ] (0.8662)
| -1066.277073643531 |    90.683755481829 | [  0  0  0  0  0  0  0  1  0 ] (0.8719)
| -1063.571219862839 |    93.389609262520 | [  1  0  0  0  0  0  1  0  0 ] (0.9405)
| -1061.501974597730 |    95.458854527629 | [  0  0  0  0  0  0  0  0  1 ] (0.5429)
| -1061.268473843022 |    95.692355282338 | [  0  0  0  0  1  1  0  0  0 ] (0.6680)
| -1051.210538302860 |   105.750290822499 | [  0  1  0  0  0  0  1  0  0 ] (0.7603)
| -1048.103343815084 |   108.857485310276 | [  1  0  0  0  0  0  0  1  0 ] (0.8298)
| -1046.729843012082 |   110.230986113278 | [  1  0  0  0  0  0  0  0  1 ] (0.9171)
| -1045.063075138499 |   111.897753986861 | [  0  0  1  0  0  0  1  0  0 ] (0.8816)
| -1040.123719423370 |   116.837109701990 | [  0  0  0  1  0  0  1  0  0 ] (0.9614)
| -1034.677285416409 |   122.283543708951 | [  0  0  0  0  0  0  2  0  0 ] (0.6840)
| -1034.252429957934 |   122.708399167425 | [  0  1  0  0  0  0  0  1  0 ] (0.4841)
| -1033.783353944594 |   123.177475180766 | [  0  1  0  0  0  0  0  1  0 ] (0.4736)
| -1031.514853115540 |   125.445976009820 | [  0  0  1  0  0  0  0  1  0 ] (0.9425)
| -1029.835102299122 |   127.125726826237 | [  0  0  0  0  0  1  1  0  0 ] (0.7011)
| -1028.304028586728 |   128.656800538632 | [  0  0  1  0  0  0  0  0  1 ] (0.8970)
| -1026.348836376941 |   130.611992748418 | [  0  0  0  0  1  0  1  0  0 ] (0.9157)
| -1025.415240890891 |   131.545588234469 | [  0  0  0  1  0  0  0  1  0 ] (0.9597)
| -1022.683792668801 |   134.277036456558 | [  0  0  0  1  0  0  0  0  1 ] (0.9678)
| -1016.505233234524 |   140.455595890836 | [  0  0  0  0  0  1  0  1  0 ] (0.9884)
| -1014.513238644158 |   142.447590481201 | [  0  0  0  0  0  1  0  0  1 ] (0.9534)
| -1012.902654318521 |   144.058174806839 | [  0  0  0  0  1  0  0  1  0 ] (0.8404)
| -1010.349512361620 |   146.611316763740 | [  0  0  0  0  1  0  0  0  1 ] (0.9683)
| -1005.845961896264 |   151.114867229096 | [  0  0  0  0  0  0  0  2  0 ] (0.7700)
| -1000.306699061045 |   156.654130064315 | [  0  0  0  0  0  0  0  0  2 ] (0.9017)
|  -980.721064209454 |   176.239764915906 | [  0  0  0  0  0  0  1  1  0 ] (0.7418)
|  -979.356577106306 |   177.604252019053 | [  0  0  0  0  0  0  1  0  1 ] (0.8338)
|  -965.082274308965 |   191.878554816395 | [  0  0  0  0  0  0  0  1  1 ] (0.8431)
