|         E          |        E-E0        |          max config      
+--------------------+--------------------+--------------------------
| -1117.302039506917 |     0.000000000000 | [  0  0  0  0  0  0  0  0  0 ] (0.9736)
| -1101.646436989221 |    15.655602517696 | [  1  0  0  0  0  0  0  0  0 ] (0.6207)
| -1099.614774344551 |    17.687265162366 | [  0  1  0  0  0  0  0  0  0 ] (0.6143)
| -1093.446736226845 |    23.855303280072 | [  0  0  1  0  0  0  0  0  0 ] (0.8781)
| -1086.542607053474 |    30.759432453443 | [  1  1  0  0  0  0  0  0  0 ] (0.5078)
| -1084.350408046675 |    32.951631460242 | [  2  0  0  0  0  0  0  0  0 ] (0.4796)
| -1079.303118193402 |    37.998921313515 | [  1  0  1  0  0  0  0  0  0 ] (0.2851)
| -1078.182603163984 |    39.119436342933 | [  0  2  0  0  0  0  0  0  0 ] (0.2336)
| -1071.327869354144 |    45.974170152773 | [  0  1  1  0  0  0  0  0  0 ] (0.3770)
| -1066.585526873112 |    50.716512633805 | [  0  0  0  1  0  0  0  0  0 ] (0.4267)
| -1066.086687445764 |    51.215352061153 | [  0  0  0  0  1  0  0  0  0 ] (0.5613)
| -1065.409992463651 |    51.892047043266 | [  2  1  0  0  0  0  0  0  0 ] (0.3314)
| -1065.128869897849 |    52.173169609068 | [  0  0  0  1  0  0  0  0  0 ] (0.4011)
| -1063.595158586544 |    53.706880920373 | [  3  0  0  0  0  0  0  0  0 ] (0.7503)
| -1061.032203447039 |    56.269836059878 | [  0  3  0  0  0  0  0  0  0 ] (0.7341)
| -1060.489947167117 |    56.812092339800 | [  0  0  0  0  0  1  0  0  0 ] (0.6478)
| -1059.586318026258 |    57.715721480659 | [  0  0  0  0  0  0  1  0  0 ] (0.7140)
| -1057.693742299030 |    59.608297207887 | [  2  0  1  0  0  0  0  0  0 ] (0.2882)
| -1056.061116270205 |    61.240923236712 | [  0  0  0  0  0  0  0  1  0 ] (0.8013)
| -1053.841995695292 |    63.460043811625 | [  0  1  0  0  1  0  0  0  0 ] (0.2031)
| -1050.785129693274 |    66.516909813643 | [  1  0  0  0  1  0  0  0  0 ] (0.4077)
| -1050.683824472257 |    66.618215034660 | [  0  1  0  0  1  0  0  0  0 ] (0.2984)
| -1049.492248361337 |    67.809791145580 | [  1  0  0  1  0  0  0  0  0 ] (0.3715)
| -1048.268037389252 |    69.034002117666 | [  0  1  0  1  0  0  0  0  0 ] (0.2422)
| -1047.607209327939 |    69.694830178978 | [  0  1  0  0  0  1  0  0  0 ] (0.3079)
| -1045.446540075800 |    71.855499431117 | [  1  0  0  0  0  0  1  0  0 ] (0.2694)
| -1044.454223713670 |    72.847815793247 | [  1  0  0  0  0  0  1  0  0 ] (0.1919)
| -1044.095600481735 |    73.206439025182 | [  0  0  1  0  1  0  0  0  0 ] (0.3814)
| -1042.970649160367 |    74.331390346550 | [  0  0  1  1  0  0  0  0  0 ] (0.4537)
| -1041.982317454551 |    75.319722052366 | [  0  1  0  0  0  0  1  0  0 ] (0.1928)
| -1041.759860754677 |    75.542178752240 | [  0  0  3  0  0  0  0  0  0 ] (0.9766)
| -1041.437647020035 |    75.864392486882 | [  1  0  0  0  0  0  0  1  0 ] (0.3982)
| -1039.075908496996 |    78.226131009921 | [  0  0  1  0  0  0  1  0  0 ] (0.2370)
| -1038.947215352362 |    78.354824154555 | [  0  0  1  0  0  1  0  0  0 ] (0.3828)
| -1037.584354389094 |    79.717685117823 | [  0  0  1  0  0  0  1  0  0 ] (0.3103)
| -1035.701263042694 |    81.600776464223 | [  0  0  0  0  0  2  0  0  0 ] (0.6192)
| -1035.589271808505 |    81.712767698412 | [  1  2  0  0  0  0  0  0  0 ] (0.1953)
| -1035.377902672996 |    81.924136833921 | [  1  1  0  0  1  0  0  0  0 ] (0.2548)
| -1033.319274960216 |    83.982764546701 | [  1  1  0  1  0  0  0  0  0 ] (0.3296)
| -1032.030266759952 |    85.271772746965 | [  0  0  1  0  0  0  0  1  0 ] (0.7794)
| -1031.962119820356 |    85.339919686561 | [  0  0  0  0  0  0  2  0  0 ] (0.3565)
| -1031.686450409610 |    85.615589097307 | [  0  0  0  0  2  0  0  0  0 ] (0.3037)
| -1030.575695212392 |    86.726344294525 | [  0  0  0  2  0  0  0  0  0 ] (0.5044)
| -1029.716125426409 |    87.585914080508 | [  0  0  0  0  0  0  2  0  0 ] (0.2979)
| -1029.665397166297 |    87.636642340620 | [  1  0  2  0  0  0  0  0  0 ] (0.3300)
| -1029.064539846598 |    88.237499660319 | [  0  0  0  0  2  0  0  0  0 ] (0.3583)
| -1028.563427331360 |    88.738612175557 | [  0  0  0  2  0  0  0  0  0 ] (0.2323)
| -1026.210886888181 |    91.091152618736 | [  1  1  0  0  0  1  0  0  0 ] (0.1943)
| -1024.760737271035 |    92.541302235882 | [  0  0  0  0  0  0  0  0  1 ] (0.4861)
| -1024.275803248056 |    93.026236258861 | [  1  1  0  0  0  0  0  1  0 ] (0.1085)
| -1023.564784969042 |    93.737254537876 | [  1  0  1  0  1  0  0  0  0 ] (0.1984)
| -1022.959289352290 |    94.342750154627 | [  0  0  0  0  0  0  0  2  0 ] (0.1966)
| -1022.662583260317 |    94.639456246600 | [  0  2  1  0  0  0  0  0  0 ] (0.3185)
| -1021.325414032969 |    95.976625473948 | [  0  0  0  0  0  0  0  2  0 ] (0.6164)
| -1020.518665298645 |    96.783374208272 | [  1  0  1  1  0  0  0  0  0 ] (0.1586)
| -1019.902178090160 |    97.399861416758 | [  0  2  0  0  1  0  0  0  0 ] (0.2376)
| -1018.681972088029 |    98.620067418888 | [  2  0  0  0  1  0  0  0  0 ] (0.1258)
| -1017.785906057513 |    99.516133449404 | [  0  1  0  0  0  0  0  0  1 ] (0.2254)
| -1017.231153591417 |   100.070885915500 | [  2  0  0  0  0  0  0  1  0 ] (0.2378)
| -1016.836418510439 |   100.465620996478 | [  1  1  0  1  0  0  0  0  0 ] (0.2638)
| -1016.266281200813 |   101.035758306104 | [  1  0  1  0  0  1  0  0  0 ] (0.1890)
| -1015.134840310634 |   102.167199196283 | [  0  0  0  1  1  0  0  0  0 ] (0.3156)
| -1015.065265887278 |   102.236773619640 | [  1  0  0  0  0  2  0  0  0 ] (0.3060)
| -1013.617283031192 |   103.684756475725 | [  0  0  0  0  1  1  0  0  0 ] (0.3541)
| -1013.231294120187 |   104.070745386730 | [  1  0  0  0  2  0  0  0  0 ] (0.3931)
| -1012.874414635127 |   104.427624871790 | [  0  0  0  1  0  0  1  0  0 ] (0.2355)
| -1012.582527277720 |   104.719512229197 | [  1  0  1  0  0  0  1  0  0 ] (0.1618)
| -1011.359713455023 |   105.942326051894 | [  1  0  1  0  0  0  0  1  0 ] (0.2486)
| -1010.497588831172 |   106.804450675745 | [  1  0  0  0  0  0  2  0  0 ] (0.2130)
| -1010.284930572413 |   107.017108934504 | [  0  0  0  0  1  0  1  0  0 ] (0.1947)
| -1008.810731040817 |   108.491308466100 | [  1  0  0  2  0  0  0  0  0 ] (0.4429)
| -1008.593725409511 |   108.708314097406 | [  0  0  0  0  1  0  1  0  0 ] (0.1785)
| -1007.645560060161 |   109.656479446756 | [  1  0  0  0  0  0  2  0  0 ] (0.1829)
| -1007.638935379961 |   109.663104126956 | [  0  0  0  0  0  1  1  0  0 ] (0.1776)
| -1007.292637562460 |   110.009401944457 | [  0  0  0  0  3  0  0  0  0 ] (0.1797)
| -1006.928379696753 |   110.373659810164 | [  0  0  0  0  0  1  0  1  0 ] (0.1171)
| -1006.790229774528 |   110.511809732389 | [  1  0  0  0  2  0  0  0  0 ] (0.4104)
| -1005.898784500850 |   111.403255006067 | [  1  0  0  0  0  0  0  2  0 ] (0.3946)
| -1005.626065396976 |   111.675974109941 | [  0  0  0  3  0  0  0  0  0 ] (0.2492)
| -1005.534501508497 |   111.767537998420 | [  0  0  0  0  3  0  0  0  0 ] (0.3231)
| -1004.967809332878 |   112.334230174039 | [  0  0  0  0  3  0  0  0  0 ] (0.1584)
| -1004.819014886948 |   112.483024619969 | [  0  0  1  0  0  0  0  0  1 ] (0.2118)
| -1004.450830387037 |   112.851209119880 | [  0  0  0  0  3  0  0  0  0 ] (0.0966)
| -1003.643965146310 |   113.658074360607 | [  1  1  0  0  0  0  0  1  0 ] (0.1095)
| -1002.736871235330 |   114.565168271587 | [  0  0  0  0  0  1  0  1  0 ] (0.3275)
| -1002.116672841640 |   115.185366665277 | [  0  1  1  0  1  0  0  0  0 ] (0.1065)
| -1001.802796674758 |   115.499242832159 | [  1  0  1  1  0  0  0  0  0 ] (0.1298)
| -1001.326555200680 |   115.975484306237 | [  0  0  2  1  0  0  0  0  0 ] (0.1392)
| -1000.731486599232 |   116.570552907685 | [  0  1  0  2  0  0  0  0  0 ] (0.3600)
| -1000.117780490237 |   117.184259016680 | [  0  0  0  0  0  0  1  1  0 ] (0.0899)
|  -999.966121835085 |   117.335917671832 | [  0  0  1  0  0  0  0  0  1 ] (0.2183)
|  -998.725139820087 |   118.576899686830 | [  0  0  0  0  0  3  0  0  0 ] (0.2893)
|  -998.635866212728 |   118.666173294189 | [  0  1  0  0  0  2  0  0  0 ] (0.3407)
|  -998.299356754982 |   119.002682751935 | [  1  0  0  1  1  0  0  0  0 ] (0.2354)
|  -998.186954871950 |   119.115084634967 | [  0  1  0  0  0  0  0  2  0 ] (0.2914)
|  -997.862047644867 |   119.439991862050 | [  0  0  0  0  0  0  1  1  0 ] (0.3409)
|  -996.746582752051 |   120.555456754866 | [  0  0  1  0  2  0  0  0  0 ] (0.4467)
|  -996.390464173061 |   120.911575333856 | [  1  0  0  0  1  1  0  0  0 ] (0.2436)
|  -995.615343089319 |   121.686696417598 | [  0  0  0  0  0  0  3  0  0 ] (0.4586)
|  -995.295443734252 |   122.006595772665 | [  2  0  0  0  0  0  0  0  1 ] (0.3809)
|  -995.102742463961 |   122.199297042956 | [  0  0  1  2  0  0  0  0  0 ] (0.5578)
|  -994.368376045161 |   122.933663461756 | [  0  1  0  0  0  0  2  0  0 ] (0.2608)
|  -994.145040425179 |   123.156999081738 | [  0  0  2  0  0  1  0  0  0 ] (0.1242)
|  -993.785421897766 |   123.516617609151 | [  0  0  1  0  0  2  0  0  0 ] (0.3829)
|  -993.634747344056 |   123.667292162861 | [  0  0  1  0  0  2  0  0  0 ] (0.1501)
|  -993.025014617889 |   124.277024889028 | [  0  2  0  0  0  0  0  0  1 ] (0.2906)
|  -991.995855619940 |   125.306183886977 | [  0  0  1  0  0  0  0  2  0 ] (0.2276)
|  -991.982788245120 |   125.319251261797 | [  0  0  2  0  0  1  0  0  0 ] (0.1042)
|  -991.717840553409 |   125.584198953508 | [  0  0  1  0  0  0  0  2  0 ] (0.4764)
|  -990.674843548138 |   126.627195958779 | [  0  1  0  1  1  0  0  0  0 ] (0.2188)
|  -990.051961438337 |   127.250078068580 | [  0  1  1  0  0  0  1  0  0 ] (0.1548)
|  -989.661545563699 |   127.640493943218 | [  1  0  0  1  0  0  1  0  0 ] (0.2135)
|  -989.222144832251 |   128.079894674666 | [  0  0  2  0  0  0  0  1  0 ] (0.1693)
|  -988.373398212950 |   128.928641293967 | [  0  0  1  0  0  0  2  0  0 ] (0.5333)
|  -988.108677609111 |   129.193361897806 | [  0  0  2  0  0  0  0  1  0 ] (0.1578)
|  -987.456022944746 |   129.846016562171 | [  1  0  0  1  0  0  0  1  0 ] (0.1895)
|  -987.406422669430 |   129.895616837487 | [  1  0  1  0  0  0  0  0  1 ] (0.2281)
|  -986.813042772235 |   130.488996734682 | [  0  0  1  1  1  0  0  0  0 ] (0.1804)
|  -986.085729579261 |   131.216309927656 | [  1  0  0  1  0  0  0  1  0 ] (0.1855)
|  -985.838626292906 |   131.463413214011 | [  0  0  2  0  0  0  0  0  1 ] (0.2197)
|  -985.237415902491 |   132.064623604426 | [  1  0  0  0  0  1  0  1  0 ] (0.2799)
|  -983.866807578712 |   133.435231928205 | [  0  1  0  0  0  1  0  1  0 ] (0.1376)
|  -982.980135704885 |   134.321903802032 | [  1  0  0  0  1  0  1  0  0 ] (0.1369)
|  -982.548450324126 |   134.753589182791 | [  0  1  0  1  0  1  0  0  0 ] (0.2269)
|  -982.316093596933 |   134.985945909984 | [  0  0  0  0  0  0  0  3  0 ] (0.7639)
|  -982.207989219875 |   135.094050287042 | [  0  1  0  1  0  0  0  1  0 ] (0.1776)
|  -981.841592615420 |   135.460446891497 | [  0  1  0  0  1  1  0  0  0 ] (0.1443)
|  -980.889859584787 |   136.412179922130 | [  1  0  0  0  0  0  1  1  0 ] (0.1150)
|  -980.456310195605 |   136.845729311312 | [  0  0  0  0  0  0  0  0  2 ] (0.3146)
|  -978.839952906038 |   138.462086600880 | [  0  0  1  0  1  1  0  0  0 ] (0.1919)
|  -978.069473205901 |   139.232566301016 | [  0  1  0  0  0  1  1  0  0 ] (0.0977)
